,Start,End,Precip,date,duration,cso,Duration,Precipitation,Year,Intensity
211,07/27/2000 14:40:00,07/28/2000 02:55:00,39.27,07/27/2000,147,,735,9.8175,0,9.617142857
212,07/29/2000 08:30:00,07/29/2000 11:00:00,20.98,07/29/2000,30,,150,5.245,0,25.176
213,07/29/2000 13:00:00,07/29/2000 17:45:00,4.87,07/29/2000,57,,285,1.2175,0,3.075789474
214,07/30/2000 01:45:00,07/30/2000 05:40:00,2.15,07/30/2000,47,,235,0.5375,0,1.646808511
215,07/30/2000 11:35:00,07/30/2000 20:50:00,9.11,07/30/2000,111,,555,2.2775,0,2.954594595
216,07/31/2000 08:10:00,07/31/2000 10:50:00,1.47,07/31/2000,32,,160,0.3675,0,1.65375
217,08/01/2000 00:00:00,08/01/2000 00:25:00,0.15,08/01/2000,5,,25,0.0375,0,1.08
218,08/01/2000 08:25:00,08/01/2000 15:55:00,6.16,08/01/2000,90,,450,1.54,0,2.464
219,08/14/2000 18:50:00,08/15/2000 00:15:00,3.77,08/14/2000,65,,325,0.9425,0,2.088
220,08/15/2000 06:30:00,08/15/2000 07:20:00,2.05,08/15/2000,10,,50,0.5125,0,7.38
221,08/15/2000 14:50:00,08/15/2000 15:15:00,0.66,08/15/2000,5,,25,0.165,0,4.752
222,08/18/2000 19:35:00,08/18/2000 21:50:00,1.79,08/18/2000,27,,135,0.4475,0,2.386666667
223,08/19/2000 11:55:00,08/19/2000 15:30:00,76.26,08/19/2000,43,,215,19.065,0,63.8455814
224,08/19/2000 17:55:00,08/19/2000 18:40:00,9.66,08/19/2000,9,,45,2.415,0,38.64
225,08/22/2000 00:05:00,08/22/2000 00:25:00,0.55,08/22/2000,4,,20,0.1375,0,4.95
226,08/25/2000 17:05:00,08/25/2000 18:30:00,74.28,08/25/2000,17,,85,18.57,0,157.2988235
227,08/26/2000 20:25:00,08/26/2000 20:40:00,0.17,08/26/2000,3,,15,0.0425,0,2.04
228,08/27/2000 10:25:00,08/27/2000 13:50:00,4.53,08/27/2000,41,,205,1.1325,0,3.977560976
229,09/04/2000 14:05:00,09/04/2000 17:05:00,23.29,09/04/2000,36,,180,5.8225,0,23.29
230,09/05/2000 05:55:00,09/05/2000 06:20:00,0.19,09/05/2000,5,,25,0.0475,0,1.368
231,09/05/2000 17:15:00,09/05/2000 17:50:00,0.81,09/05/2000,7,,35,0.2025,0,4.165714286
232,09/06/2000 02:20:00,09/06/2000 03:45:00,1.45,09/06/2000,17,,85,0.3625,0,3.070588235
233,09/06/2000 19:45:00,09/06/2000 20:30:00,5.4,09/06/2000,9,,45,1.35,0,21.6
234,09/07/2000 03:05:00,09/07/2000 03:50:00,3.88,09/07/2000,9,,45,0.97,0,15.52
235,09/08/2000 05:45:00,09/08/2000 05:50:00,0.02,09/08/2000,1,,5,0.005,0,0.72
236,09/08/2000 14:55:00,09/08/2000 15:05:00,0.14,09/08/2000,2,,10,0.035,0,2.52
237,09/10/2000 02:55:00,09/10/2000 03:20:00,0.1,09/10/2000,5,,25,0.025,0,0.72
238,09/21/2000 13:00:00,09/21/2000 14:40:00,1.97,09/21/2000,20,,100,0.4925,0,3.546
239,09/26/2000 23:40:00,09/27/2000 02:40:00,11.7,09/26/2000,36,,180,2.925,0,11.7
240,09/27/2000 05:30:00,09/27/2000 05:45:00,0.27,09/27/2000,3,,15,0.0675,0,3.24
241,09/27/2000 13:10:00,09/27/2000 16:45:00,13.79,09/27/2000,43,,215,3.4475,0,11.54511628
242,09/27/2000 20:20:00,09/27/2000 22:30:00,7.71,09/27/2000,26,,130,1.9275,0,10.67538462
243,09/29/2000 13:45:00,09/29/2000 14:35:00,1.16,09/29/2000,10,,50,0.29,0,4.176
244,09/29/2000 17:10:00,09/29/2000 19:40:00,27.77,09/29/2000,30,,150,6.9425,0,33.324
245,10/01/2000 06:20:00,10/01/2000 07:30:00,1.64,10/01/2000,14,,70,0.41,0,4.217142857
246,10/01/2000 09:50:00,10/01/2000 12:55:00,2.22,10/01/2000,37,,185,0.555,0,2.16
247,10/01/2000 16:35:00,10/01/2000 19:35:00,28.77,10/01/2000,36,,180,7.1925,0,28.77
